Date,^GSPC,AAPL,BRK-B,KO,AXP,BAC,WFC,SIRI,BK,LUV,DVA,COST,TRV,PNC,GS,MCO,AMD,ECL,MSFT,NVO,PG,BLK,HD,NVDA,VRTX,A,DIS,INTC,JNJ,FDX,TGT
1/3/2000,1455.219971,0.855168,35.299999,11.719709,34.383446,14.021359,10.826397,39.021885,24.901276,9.673413,2.291667,31.42071,19.224304,22.800999,69.098488,8.320157,15.5,14.573812,37.102634,0.369195,30.625511,11.114686,42.829884,3.586668,18.78125,44.603386,23.115221,27.334038,26.978193,37.847946,24.407228
1/4/2000,1399.420044,0.783068,34.080002,11.732705,33.085163,13.189125,10.290268,36.412514,24.186192,9.406831,2.25,29.699621,18.969437,22.091642,64.746201,8.07969,14.625,14.187104,35.849308,0.36748,30.036228,10.613274,40.571358,3.490895,17.28125,41.196171,24.469255,26.057665,25.990519,36.580845,23.348814
1/5/2000,1402.109985,0.794528,34.639999,11.836644,32.244839,13.33386,10.1865,38.250938,23.639383,9.368747,2.0625,30.207132,18.823801,22.19297,61.714302,7.935415,15,14.742994,36.227283,0.360617,29.464787,10.529698,41.392651,3.375969,17,38.640766,25.484774,26.273663,26.264877,37.407223,22.819603
1/6/2000,1403.449951,0.725771,36.080002,11.849643,32.90176,14.473662,10.636159,39.377701,24.228264,9.330659,2,30.813913,19.187899,23.240139,64.355003,7.935415,16,15.39555,35.013741,0.36645,30.821951,10.69684,39.421577,3.155693,16.75,37.169479,24.469255,24.742018,27.087944,41.649265,21.740002
1/7/2000,1441.469971,0.760149,36.400002,12.629223,33.380791,14.093729,10.826397,38.784657,25.490156,9.673413,2.208333,32.854946,19.952496,23.273916,64.599525,8.127788,16.25,15.39555,35.471302,0.376058,33.286285,10.613274,41.721165,3.208367,18.21875,40.266937,24.082386,25.7631,28.240223,41.869625,22.861929
1/10/2000,1457.599976,0.74678,36.259998,12.226441,33.846127,13.605237,10.480509,40.326572,24.354452,9.787666,2.25,33.538944,19.588396,22.463205,66.01767,8.127788,17.5,15.709741,35.729923,0.406938,33.125568,10.69684,41.515835,3.313717,18.78125,42.706173,27.757616,26.941303,27.526905,40.98819,22.417393
1/11/2000,1438.560059,0.708581,35.580002,12.642213,34.160896,13.315768,10.307562,38.784657,23.765566,10.092341,2.229167,32.347454,19.369955,22.226753,66.359978,8.223975,17.25,15.540556,34.814793,0.400076,33.643444,10.989335,40.448177,3.179636,19.78125,42.125408,28.047764,28.178394,27.618359,40.216888,23.094788
1/12/2000,1432.25,0.666086,34.900002,12.78514,33.982994,13.460505,10.601572,38.666046,24.522707,10.130427,2.208333,32.303314,19.406353,22.950804,66.01767,8.175878,18.125,15.250535,33.680824,0.401448,33.429146,11.448959,40.119659,3.09823,19.5625,41.273598,26.065073,28.669312,27.362282,39.886353,22.840765
1/13/2000,1449.680054,0.73914,35.200001,12.590242,34.160896,13.76807,11.189585,38.191624,25.153643,9.787666,2.3125,33.516907,19.806852,25.034138,66.115448,8.320157,18.875,15.129685,34.317467,0.395958,32.8577,11.323611,40.817745,3.227522,19.5625,41.893097,26.935526,28.610395,27.32572,41.428898,23.369984
1/14/2000,1465.150024,0.767311,34.02,12.694191,34.927345,14.618396,11.535477,39.852135,26.331427,9.86384,2.395833,34.642216,19.806852,25.546417,66.995705,8.223975,20.1875,15.250535,35.729923,0.376744,33.429146,11.699664,40.694553,3.366392,22,42.3577,25.968353,32.380615,27.417164,41.043259,23.454651
1/18/2000,1455.140015,0.79405,34,13.512756,33.189186,13.894718,10.757221,41.749847,25.153643,9.597253,2.395833,36.18679,19.078663,25.10244,67.973763,8.0316,19.5,14.863837,36.704742,0.368166,33.411282,12.033946,39.750084,3.510049,21.21875,44.293633,26.693733,32.086063,26.722137,38.949787,23.031284
1/19/2000,1455.900024,0.814104,34.18,13.564725,32.614368,13.894718,10.169206,44.359219,25.092817,9.444913,1.625,36.628086,19.115076,24.760902,68.511658,8.175878,19.59375,14.670486,34.058819,0.362333,33.055309,12.201082,40.6535,3.47653,21.09375,43.364395,26.887159,31.43807,26.813576,39.004879,23.687498
1/20/2000,1445.569946,0.867105,34,13.694647,33.154957,13.627862,10.065439,45.604595,24.83935,9.216405,1.770833,35.304165,19.005846,24.043695,67.332497,8.07969,19.5,14.622144,33.740528,0.371254,32.249512,11.699664,39.955399,3.466952,22.140625,42.202839,26.016714,30.043854,26.905035,37.462307,22.925438
