Date,IBM,BRK-B,KO,AXP,JPM,WFC,STT,BK,CI,WMT,COST,TRV,PNC,GS,MCO,DE,ECL,MSFT,DD,PG,BLK,HD,BA,VRTX,A,DIS,INTC,JNJ,FDX,TGT
1/3/2000,10347700,875000,10997000,6471200,12019200,9037000,1295400,2569000,2089500,8369900,6057400,336400,703500,1822600,1356800,2691200,582000,53228400,1296000,4275000,64600,12030800,2638200,1010000,4674300,8402200,57710200,4642400,1734000,2870400
1/4/2000,8227800,1380000,7308000,10440800,11723400,15237200,1316000,2837900,2073000,6745100,5722800,494400,1318500,1647700,1126600,3370600,863200,54119000,2073600,4270800,81900,8774500,3592100,265400,4765000,16051100,51019600,7822200,1571900,3856400
1/5/2000,12733200,995000,9457400,8646200,8714500,8228200,1039400,3077800,1556700,7018700,7726400,736000,1078900,1516600,1278800,6213800,613600,64059600,3653200,5098400,38100,6931400,7631700,202000,5758600,19823800,52389000,8229600,2239400,4330600
1/6/2000,7971900,915000,7129200,10990900,8369200,8326800,1356200,3495100,2016900,6544500,7221400,660400,1490700,1845100,2142800,6081400,893600,54976600,4885500,6524200,41200,6603400,4922200,270600,2534400,7903100,55171200,5356400,4630500,8167400
1/7/2000,11856700,1000000,11474000,6016400,6571900,7711200,1162400,2220500,1743300,7976900,5164800,594700,1128000,1127400,2784200,4113000,900000,62013600,3469200,9832000,34700,6201600,6008300,813200,2819600,6773500,41096400,9863800,3532800,4402600
1/10/2000,8540500,1010000,8723800,4906300,4723500,8953200,1036600,1436500,2408400,6714300,4454000,389900,945800,803100,964200,3156600,848600,44963600,1707300,6862000,94200,5453000,2403500,1306400,2148400,33965800,53619800,4928600,1437300,2559600
1/11/2000,7873300,725000,9398000,7158400,8405500,6170800,1381000,1678600,1678500,4943300,2955000,812900,548000,808600,1656400,3176400,518000,46743600,1343200,4421800,39700,4371500,2450000,1208800,1855900,20134800,105481800,6153000,1055100,3790400
1/12/2000,6803800,515000,8389800,5816900,7271800,7030000,1287800,1508000,1857900,4085000,4687400,561500,831400,916100,1719400,3013800,777800,66532400,3209100,6231600,25100,4599400,2327800,842400,1429800,13100900,97326600,5163200,1050900,3191400
1/13/2000,8489700,615000,6106000,5831000,6918900,11077000,1416000,1688400,1845300,5021000,5750800,589600,1703500,711000,947800,2002800,492200,83144000,2186600,5285200,62000,4538900,3035100,925600,1134300,8732300,76104200,4659200,1900200,5080200
1/14/2000,10956600,1345000,7513200,6290600,9731800,11497400,1221800,2143000,1855800,6312200,4571000,599300,1377200,607000,739400,2989400,427200,73416400,2217800,4904400,183100,4578000,3834900,550800,1316900,8151500,184405200,5404800,1291100,2916600
1/18/2000,7643900,1375000,18350800,5867700,5296600,12744000,1975000,1518900,1778400,6442200,5932000,945900,1056000,1095700,802800,3040400,569600,81483600,2656000,4456800,77300,5322000,5859800,268000,2101700,8101700,102100600,4870000,2412200,1939200
1/19/2000,8634500,885000,12813400,6608700,15734700,17140600,1082000,2153600,2131500,4819900,4130500,988100,845200,636900,1146000,2004000,807200,97568200,2812000,5553400,34500,5176400,11463600,638000,2624800,6551300,45568000,5507400,1876500,3417000
